"name","id"
Paid_by_Candidate_Campaign,15
Paid_by_Political_Party-Third_Party-PAC,16
Democrat_Party,17
Republican_Party,18
Third_Party_or_Non-Partisan,19
Federal_Elections,20
State_and_Local_Elections,21
Healthcare_and_Prescription_Drugs,22
Gun_Regulation,23
Abortion_and_Reproductive_Health,24
Immigration,25
Sex-Gender-LGBTQ_Issues,26
Security_and_Foreign_Policy,27
Criminal_Justice,28
Environmental_Politics,30
Attack_Ads,31
Suspected_Deep_Fake,32
Social_Security,34
Non-US_Election_Ad,38
DAA_Icon_Confirmed,39
IIlegal_Drug_Policy,40
Racial_Justice,41
California,43
New_Jersey,44
Virginia,45
New_York,46
Seattle,47
